-----------------------------------------------------------------------------------------
X	Y	year	month	day	Mag	Z(m)	hr	min	sec	stage
335830	432736	2019	8	15	-0.651	-2113.67	10	55	4	1
335821	432793	2019	8	15	-1.195	-2118.17	10	55	7	1
335856	432745	2019	8	15	-1.151	-2117.73	10	55	8	1
335835	432778	2019	8	15	-0.724	-2110.95	10	55	8	1
335848	432718	2019	8	15	-1.377	-2065.53	10	55	9	1
335777	432711	2019	8	15	-1.49	-2155.35	10	55	11	1
335812	432860	2019	8	15	-1.292	-2147.69	10	55	12	1
335867	432652	2019	8	15	-1.416	-2058.4	10	55	14	1
335836	432699	2019	8	15	-1.238	-2042.11	10	55	17	1
335852	432761	2019	8	15	-1.711	-2128.26	10	55	19	1
335820	432811	2019	8	15	-0.806	-2130.06	10	55	23	1
335889	432629	2019	8	15	-1.653	-2106.28	10	55	38	1
335852	432748	2019	8	15	-0.851	-2135.39	10	55	40	1
335835	432784	2019	8	15	-1.413	-2133.42	10	55	45	1
335846	432721	2019	8	15	-1.24	-2101.01	10	55	47	1
335832	432711	2019	8	15	-1.305	-2046.51	10	55	52	1
335849	432697	2019	8	15	-1.034	-2042.93	10	55	55	1
335832	432747	2019	8	15	-1.146	-2104.72	10	55	57	1
335901	432812	2019	8	15	-1.569	-2123.68	10	55	58	1
335852	432677	2019	8	15	-1.079	-2084.6	10	56	3	1
335810	432765	2019	8	15	-1.039	-2136.69	10	56	4	1
335824	432739	2019	8	15	-0.87	-2086.9	10	56	9	1
335824	432714	2019	8	15	-1.201	-2119.4	10	56	13	1
335824	432839	2019	8	15	-1.188	-2121.4	10	56	15	1
335845	432700	2019	8	15	-0.589	-2101.61	10	56	16	1
335833	432713	2019	8	15	-1.145	-2051.97	10	56	18	1
335914	432725	2019	8	15	-1.517	-2088.91	10	56	26	1
335855	432753	2019	8	15	-1.273	-2101.41	10	56	28	1
335843	432718	2019	8	15	-1.331	-2143.36	10	56	29	1
335848	432738	2019	8	15	-1.229	-2133.79	10	56	34	1
335832	432775	2019	8	15	-1.134	-2112.88	10	56	35	1
335873	432771	2019	8	15	-1.616	-2114.65	10	56	39	1
335842	432677	2019	8	15	-1	-2051.62	10	56	41	1
335844	432682	2019	8	15	-1.169	-2046.75	10	56	43	1
335845	432748	2019	8	15	-1.399	-2105.36	10	56	48	1
335834	432752	2019	8	15	-1.443	-2130.45	10	56	51	1
335833	432707	2019	8	15	-0.895	-2057.46	10	56	55	1
335859	432794	2019	8	15	-1.262	-2118.77	10	56	55	1
335829	432810	2019	8	15	-0.96	-2116.69	10	57	3	1
335822	432781	2019	8	15	-1.358	-2117.5	10	57	9	1
335831	432758	2019	8	15	-1.014	-2114.54	10	57	15	1
335848	432696	2019	8	15	-1.068	-2061.77	10	57	16	1
335839	432726	2019	8	15	-1.179	-2055.49	10	57	20	1
