    166      994 1144.5000 4.744 0.000 102.863 26.873
    167       29 1146.0100 4.721 -3000.000 102.272 29.169
    168     1260 1146.5400 4.742 0.000 103.245 25.910
    169     2219 1146.7700 4.749 0.000 102.728 27.071
    170       31 1147.2800 4.720 -9000.000 102.272 29.169
    171     1925 1147.9300 4.745 0.000 102.872 23.381
    172        8 1148.7900 4.704 -3000.000 102.276 29.250
    173     1267 1149.1900 4.750 0.000 103.256 25.885
    174     1946 1150.0100 5.504 0.000 102.844 23.304
    175       37 1153.7900 4.704 -6000.000 102.270 29.142
    176      315 1154.5900 5.008 0.000 102.209 28.064
    177     2226 1155.3900 4.746 0.000 102.744 27.048
    178     1946 1155.8200 4.743 0.000 102.844 23.304
    179     1932 1156.5000 4.983 0.000 102.862 23.355
    180       21 1158.6400 4.753 0.000 102.273 29.196
    181     1995 1158.8500 5.150 0.000 102.283 27.840
    182     1940 1159.7400 4.715 -3000.000 102.853 23.329
    183        7 1160.8000 5.007 0.000 102.276 29.250
    184     1934 1160.8500 4.712 -6000.000 102.862 23.355
    185     1953 1161.6000 4.748 0.000 102.834 23.278
    186        4 1163.3400 4.720 -12000.000 102.278 29.277
    187      309 1165.4500 4.721 -3000.000 102.204 28.090
    188       32 1165.5900 4.720 -12000.000 102.272 29.169
    189       70 1168.5400 4.754 0.000 102.262 29.007
    190     1274 1169.9100 5.267 0.000 103.268 25.860
    191       10 1170.0900 4.703 -9000.000 102.276 29.250
    192       22 1173.4900 4.720 -3000.000 102.273 29.196
    193     1933 1173.6700 4.713 -3000.000 102.862 23.355
    194      316 1175.1400 4.705 -3000.000 102.209 28.064
    195       21 1176.5200 4.753 0.000 102.273 29.196
    196      315 1176.8500 4.746 0.000 102.209 28.064
    197     1947 1176.9300 5.601 -3000.000 102.844 23.304
    198       29 1178.1700 6.255 -3000.000 102.272 29.169
    199      301 1178.4000 5.759 0.000 102.199 28.117
    200      994 1178.4700 5.446 0.000 102.863 26.873
    201     1274 1180.0900 4.749 0.000 103.268 25.860
    202       22 1180.6600 5.754 -3000.000 102.273 29.196
    203     1995 1186.2300 5.519 0.000 102.283 27.840
    204      371 1191.0100 4.742 0.000 102.331 29.179
