t,Magnitude,Latitude,Longitude,Depth,dt
254.82,4.991,29.277,102.278,0.0,0.13800000000000523
254.958,4.72,29.277,102.278,-12000.0,0.5270000000000152
255.485,4.716,29.277,102.278,-6000.0,0.3359999999999843
255.821,4.705,26.979,102.791,-18000.0,1.217000000000013
257.038,4.743,23.252,102.825,0.0,0.4219999999999686
257.46,4.72,29.277,102.278,-15000.0,1.188000000000045
258.648,4.716,29.277,102.278,-18000.0,0.07399999999995543
258.722,4.72,29.277,102.278,-9000.0,0.011000000000024102
258.733,4.701,23.252,102.825,-3000.0,0.2330000000000041
258.966,4.717,29.277,102.278,-3000.0,0.03899999999998727
259.005,4.716,29.277,102.278,-12000.0,0.8280000000000314
259.833,4.702,26.943,102.816,-18000.0,0.10599999999999454
259.939,4.72,29.277,102.278,-6000.0,0.6259999999999764
260.565,4.704,27.938,102.232,-18000.0,0.06400000000002137
260.629,4.72,27.983,102.224,-18000.0,0.07200000000000273
260.701,4.701,23.252,102.825,-6000.0,0.7119999999999891
261.413,4.7,23.252,102.825,-18000.0,0.02600000000001046
261.439,4.754,29.277,102.278,0.0,0.5949999999999704
262.034,4.701,23.252,102.825,-9000.0,0.006000000000028649
262.04,4.97,29.25,102.276,-18000.0,0.728999999999985
262.769,4.716,29.277,102.278,-9000.0,0.5670000000000073
263.336,4.976,29.277,102.278,-15000.0,0.25399999999996226
263.59,4.743,23.252,102.825,0.0,0.5370000000000346
264.127,4.701,23.252,102.825,-3000.0,0.07900000000000773
264.206,5.115,23.278,102.834,-18000.0,0.3170000000000073
264.523,4.716,29.277,102.278,-6000.0,0.020999999999958163
264.544,4.75,29.277,102.278,0.0,0.27899999999999636
264.823,4.717,29.277,102.278,-3000.0,1.3840000000000146
266.207,4.701,23.252,102.825,-6000.0,0.8310000000000173
267.038,4.72,29.277,102.278,-9000.0,0.14999999999997726
267.188,4.702,26.943,102.816,-18000.0,1.1730000000000018
268.361,4.701,23.252,102.825,-9000.0,0.21600000000000819
268.577,5.128,29.277,102.278,-18000.0,0.13700000000000045
268.714,4.705,26.979,102.791,-18000.0,0.26600000000001955
268.98,4.701,23.252,102.825,-12000.0,0.06499999999999773
269.045,4.976,29.277,102.278,-3000.0,0.6349999999999909
269.68,4.714,23.278,102.834,-18000.0,0.44999999999998863
270.13,4.975,23.252,102.825,0.0,0.6779999999999973
270.808,4.716,29.277,102.278,-9000.0,0.4560000000000173
271.264,5.259,29.25,102.276,-18000.0,0.03999999999996362
271.304,4.754,29.277,102.278,0.0,0.013000000000033651
271.317,4.701,23.252,102.825,-6000.0,0.0
271.317,4.72,27.983,102.224,-18000.0,0.06700000000000728
271.384,4.956,23.252,102.825,-15000.0,0.1449999999999818
271.529,4.704,27.938,102.232,-18000.0,0.7259999999999991
272.255,4.72,27.983,102.224,-15000.0,1.0629999999999882
273.318,4.703,29.25,102.276,-18000.0,0.4670000000000414
273.785,4.701,23.252,102.825,-9000.0,0.5289999999999964
274.314,4.701,23.252,102.825,-12000.0,0.031999999999982265
274.346,4.702,26.943,102.816,-18000.0,0.1519999999999868
274.498,5.144,29.277,102.278,-6000.0,1.1410000000000196
275.639,4.976,29.277,102.278,-12000.0,0.2400000000000091
275.879,4.714,23.278,102.834,-18000.0,0.1379999999999768
276.017,4.7,23.252,102.825,-15000.0,0.24200000000001864
276.259,4.743,23.252,102.825,0.0,0.20900000000000318
276.468,4.7,23.252,102.825,-18000.0,1.23599999999999
277.704,4.957,23.252,102.825,-6000.0,0.5439999999999827
278.248,4.721,29.277,102.278,-3000.0,0.10300000000000864
278.351,4.72,29.277,102.278,-18000.0,0.8620000000000232
279.213,4.701,23.252,102.825,-9000.0,0.44999999999998863
279.663,4.701,23.252,102.825,-12000.0,0.42099999999999227
280.084,4.72,29.277,102.278,-6000.0,0.02199999999999136
280.106,4.701,23.304,102.844,-18000.0,0.5450000000000159
280.651,4.703,29.25,102.276,-15000.0,0.11000000000001364
280.761,4.72,27.983,102.224,-18000.0,0.18599999999997863
280.947,5.137,23.278,102.834,-18000.0,0.002999999999985903
280.95,4.716,29.277,102.278,-18000.0,0.5470000000000255
281.497,4.716,29.277,102.278,-9000.0,0.20499999999998408
281.702,4.959,26.943,102.816,-18000.0,0.12299999999999045
281.825,4.72,29.277,102.278,-12000.0,0.4600000000000364
282.285,4.965,29.277,102.278,-15000.0,0.10099999999999909
282.386,4.743,23.252,102.825,0.0,0.2189999999999941
282.605,4.96,27.938,102.232,-18000.0,0.17899999999997362
282.784,4.701,23.252,102.825,-6000.0,0.11599999999998545
282.9,4.716,29.277,102.278,-6000.0,0.38400000000001455
283.284,4.754,29.277,102.278,0.0,0.7699999999999818
284.054,4.72,29.277,102.278,-18000.0,0.2410000000000423
284.295,4.721,29.277,102.278,-3000.0,0.3599999999999568
284.655,4.956,23.252,102.825,-9000.0,0.3310000000000173
284.986,4.972,29.277,102.278,-15000.0,0.5160000000000196
285.502,4.701,23.252,102.825,-3000.0,0.09899999999998954
