    104        6 220.5780 4.965 -18000.000 102.278 29.277
    105        0 220.6480 4.754 0.000 102.278 29.277
    106        5 221.5260 4.720 -15000.000 102.278 29.277
    107        2 221.7420 4.720 -6000.000 102.278 29.277
    108        4 223.2180 4.720 -12000.000 102.278 29.277
    109        6 224.3250 4.720 -18000.000 102.278 29.277
    110     1965 224.3390 4.700 -15000.000 102.825 23.252
    111     1966 224.6160 4.700 -18000.000 102.825 23.252
    112     1964 224.7580 4.701 -12000.000 102.825 23.252
    113        1 225.0670 4.721 -3000.000 102.278 29.277
    114      348 226.4810 4.716 -15000.000 102.278 29.277
    115        3 226.7240 4.720 -9000.000 102.278 29.277
    116     1973 226.9840 4.704 -18000.000 102.232 27.938
    117      349 227.3870 4.716 -18000.000 102.278 29.277
    118        0 227.8550 4.754 0.000 102.278 29.277
    119        2 228.0250 4.720 -6000.000 102.278 29.277
    120      342 229.1760 4.720 -18000.000 102.224 27.983
    121     1966 229.5340 4.956 -18000.000 102.825 23.252
    122        4 229.9780 4.976 -12000.000 102.278 29.277
    123     2253 230.0360 4.705 -18000.000 102.791 26.979
    124     1963 230.5350 4.956 -9000.000 102.825 23.252
    125      979 230.8060 4.702 -18000.000 102.816 26.943
    126        1 231.2830 4.721 -3000.000 102.278 29.277
    127        6 231.6610 4.720 -18000.000 102.278 29.277
    128     1962 232.5620 4.701 -6000.000 102.825 23.252
    129       13 232.6850 4.703 -18000.000 102.276 29.250
    130        3 232.9430 4.720 -9000.000 102.278 29.277
    131      347 233.5650 4.716 -12000.000 102.278 29.277
    132     1966 233.5700 4.700 -18000.000 102.825 23.252
    133        2 234.3320 4.720 -6000.000 102.278 29.277
    134     1961 234.3410 4.701 -3000.000 102.825 23.252
    135        0 235.0050 4.754 0.000 102.278 29.277
    136     1963 235.6620 4.701 -9000.000 102.825 23.252
    137      348 236.2220 4.972 -15000.000 102.278 29.277
    138      346 236.4790 4.716 -9000.000 102.278 29.277
    139     1965 236.5130 4.700 -15000.000 102.825 23.252
    140        1 237.4840 4.721 -3000.000 102.278 29.277
    141     1966 237.8970 4.700 -18000.000 102.825 23.252
    142     1960 237.9020 4.743 0.000 102.825 23.252
    143      345 238.0020 4.716 -6000.000 102.278 29.277
    144     1962 238.0810 4.701 -6000.000 102.825 23.252
    145        4 238.1380 4.720 -12000.000 102.278 29.277
    146      979 238.1610 4.702 -18000.000 102.816 26.943
    147     1964 238.1770 4.701 -12000.000 102.825 23.252
    148     1973 238.1780 4.704 -18000.000 102.232 27.938
    149        6 239.4540 4.720 -18000.000 102.278 29.277
    150      342 239.6600 4.720 -18000.000 102.224 27.983
    151     1961 239.7190 4.701 -3000.000 102.825 23.252
    152        5 239.7870 4.720 -15000.000 102.278 29.277
