-----------------------------------------------------------------------------------------
Lon	Lat	year	month	day	Mag	Z(km)	hr	min	sec	
-----------------------------------------------------------------------------------------
-2.97393	53.7865	2018	10	16	-1.702	-2.32978	13	46	15
-2.97594	53.7855	2018	10	16	-1.407	-2.26945	13	46	21
-2.97519	53.7857	2018	10	16	-1.212	-2.28533	13	46	27
-2.97419	53.7857	2018	10	16	-1.44	-2.33555	13	46	31
-2.97394	53.7859	2018	10	16	-1.3	-2.31659	13	46	39
-2.9737	53.7866	2018	10	16	-1.719	-2.36427	13	46	40
-2.97408	53.7857	2018	10	16	-1.584	-2.3665	13	46	41
-2.97429	53.7855	2018	10	16	-1.115	-2.3524	13	46	42
-2.97364	53.7862	2018	10	16	-1.56	-2.38119	13	46	44
-2.97458	53.7867	2018	10	16	-1.529	-2.31751	13	46	48
-2.97486	53.7871	2018	10	16	-1.705	-2.30759	13	46	52
-2.97556	53.7873	2018	10	16	-1.747	-2.28836	13	46	53
-2.97531	53.787	2018	10	16	-1.559	-2.25624	13	46	58
-2.97526	53.7869	2018	10	16	-1.659	-2.27976	13	47	0
-2.97547	53.7856	2018	10	16	-1.213	-2.2716	13	47	2
-2.975	53.7853	2018	10	16	-1.189	-2.27174	13	47	7
-2.97529	53.7858	2018	10	16	-1.397	-2.26993	13	47	10
-2.97485	53.7854	2018	10	16	-1.346	-2.27241	13	47	15
-2.97503	53.7851	2018	10	16	-1.538	-2.28522	13	47	16
-2.97522	53.7855	2018	10	16	-1.345	-2.27253	13	47	24
-2.97486	53.7854	2018	10	16	-0.844	-2.31286	13	47	31
-2.97461	53.7858	2018	10	16	-1.466	-2.28288	13	47	34
-2.97483	53.7857	2018	10	16	-1.641	-2.32075	13	47	34
-2.97486	53.785	2018	10	16	-1.22	-2.30601	13	48	0
-2.97493	53.7858	2018	10	16	-1.386	-2.30654	13	48	12
-2.97391	53.7862	2018	10	16	-1.642	-2.33383	13	48	20
-2.97369	53.7858	2018	10	16	-1.45	-2.3495	13	48	21
-2.97386	53.7859	2018	10	16	-1.591	-2.36033	13	48	23
-2.97382	53.7856	2018	10	16	-1.527	-2.35657	13	48	36
-2.97447	53.7857	2018	10	16	-1.527	-2.33167	13	48	49
-2.97399	53.786	2018	10	16	-1.593	-2.37516	13	48	50
-2.97444	53.7858	2018	10	16	-1.443	-2.34301	13	49	2
-2.97447	53.7857	2018	10	16	-1.307	-2.33023	13	49	3
-2.97448	53.786	2018	10	16	-1.551	-2.36041	13	49	3
-2.97437	53.7854	2018	10	16	-0.829	-2.3497	13	49	7
-2.97329	53.7858	2018	10	16	-1.636	-2.3587	13	49	21
-2.97418	53.7857	2018	10	16	-1.46	-2.33838	13	49	25
-2.97379	53.7856	2018	10	16	-1.801	-2.37998	13	49	26
-2.97416	53.7856	2018	10	16	-1.139	-2.35019	13	49	29
-2.97376	53.7856	2018	10	16	-1.824	-2.34589	13	49	30
-2.97472	53.7859	2018	10	16	-1.311	-2.3361	13	49	35
-2.97328	53.7853	2018	10	16	-1.665	-2.395	13	49	36
-2.97396	53.7861	2018	10	16	-1.377	-2.33655	13	49	40
-2.9735	53.7858	2018	10	16	-1.522	-2.36541	13	49	42
-2.9737	53.7857	2018	10	16	-1.525	-2.38191	13	49	45
-2.97446	53.7857	2018	10	16	-1.51	-2.35731	13	49	52
-2.97395	53.7861	2018	10	16	-1.543	-2.34532	13	49	57
-2.97406	53.7855	2018	10	16	-1.654	-2.33722	13	50	0
-2.97452	53.7858	2018	10	16	-1.243	-2.32813	13	50	1
-2.9743	53.7855	2018	10	16	-0.936	-2.33938	13	50	2
-2.97412	53.7857	2018	10	16	-1.45	-2.35011	13	50	7
-2.97412	53.7856	2018	10	16	-1.413	-2.3917	13	50	13
-2.97379	53.786	2018	10	16	-1.516	-2.35478	13	50	19
-2.97336	53.7858	2018	10	16	-1.369	-2.35879	13	50	20
-2.97456	53.7856	2018	10	16	-1.195	-2.33922	13	50	21
-2.97341	53.7859	2018	10	16	-1.595	-2.36727	13	50	32
-2.97449	53.7858	2018	10	16	-1.55	-2.35898	13	50	33
-2.97428	53.7854	2018	10	16	-1.166	-2.3521	13	50	34
-2.97421	53.7859	2018	10	16	-1.415	-2.38475	13	50	39
-2.97404	53.7857	2018	10	16	-1.348	-2.37561	13	50	44
-2.97421	53.7859	2018	10	16	-1.518	-2.32446	13	50	46
-2.97405	53.7856	2018	10	16	-1.361	-2.35322	13	50	49
-2.97424	53.7857	2018	10	16	-1.612	-2.34566	13	50	53
-2.97484	53.7859	2018	10	16	-0.956	-2.3396	13	51	5
-2.97397	53.7861	2018	10	16	-1.522	-2.33076	13	51	6
-2.97337	53.7857	2018	10	16	-1.435	-2.35667	13	51	8
-2.97375	53.7859	2018	10	16	-1.666	-2.35316	13	51	15
-2.97393	53.7862	2018	10	16	-1.462	-2.33446	13	51	25
-2.97401	53.7859	2018	10	16	-1.755	-2.35146	13	51	26
-2.97424	53.7855	2018	10	16	-1.003	-2.35403	13	51	32
-2.97423	53.7856	2018	10	16	-1.385	-2.35479	13	51	34
-2.9745	53.7856	2018	10	16	-0.756	-2.34202	13	51	35
-2.97431	53.7854	2018	10	16	-1.178	-2.35553	13	51	49
-2.97446	53.7857	2018	10	16	-1.475	-2.36676	13	51	58
-2.97405	53.7856	2018	10	16	-1.497	-2.35504	13	52	2
-2.97427	53.7856	2018	10	16	-1.533	-2.36085	13	52	5
-2.97419	53.7859	2018	10	16	-1.766	-2.35458	13	52	5
-2.97492	53.7859	2018	10	16	-1.2	-2.33795	13	52	8
-2.97352	53.7858	2018	10	16	-1.621	-2.3604	13	52	10
-2.97439	53.7854	2018	10	16	-0.805	-2.34915	13	52	21
-2.97499	53.7856	2018	10	16	-0.997	-2.34258	13	52	26
-2.97369	53.7857	2018	10	16	-1.609	-2.3409	13	52	32
-2.9745	53.7858	2018	10	16	-1.587	-2.34898	13	52	35
-2.97447	53.7858	2018	10	16	-0.877	-2.34814	13	52	44
-2.97433	53.7858	2018	10	16	-1.474	-2.34111	13	52	55
-2.97471	53.7858	2018	10	16	-1.555	-2.33649	13	52	56
-2.97462	53.786	2018	10	16	-1.48	-2.33675	13	53	1
-2.97339	53.7855	2018	10	16	-1.689	-2.3538	13	53	7
-2.97441	53.7857	2018	10	16	-1.686	-2.28627	13	53	8
-2.9744	53.7863	2018	10	16	-1.674	-2.35358	13	53	12
-2.97434	53.7854	2018	10	16	-1.307	-2.35227	13	53	22
-2.97449	53.7856	2018	10	16	-1.067	-2.33173	13	53	25
-2.97399	53.786	2018	10	16	-1.5	-2.3389	13	53	27
-2.97316	53.7863	2018	10	16	-1.685	-2.38094	13	53	28
-2.97407	53.7859	2018	10	16	-1.616	-2.353	13	53	29
-2.9738	53.7859	2018	10	16	-1.591	-2.3342	13	53	31
-2.97438	53.7856	2018	10	16	-1.34	-2.34152	13	53	35
-2.97468	53.7858	2018	10	16	-1.334	-2.33521	13	53	39
-2.97465	53.7855	2018	10	16	-0.839	-2.3374	13	53	48
-2.9748	53.7856	2018	10	16	-0.636	-2.33527	13	53	50
-2.97453	53.7854	2018	10	16	-0.776	-2.33115	13	53	51
-2.97447	53.7856	2018	10	16	-1.252	-2.34426	13	53	52
-2.97487	53.7857	2018	10	16	-1.15	-2.34342	13	53	55
-2.97426	53.7858	2018	10	16	-1.345	-2.32771	13	54	1
-2.97443	53.7855	2018	10	16	-0.948	-2.33704	13	54	4
-2.97451	53.787	2018	10	16	-1.7	-2.35647	13	54	6
-2.9742	53.7855	2018	10	16	-1.381	-2.33749	13	54	8
-2.97487	53.7858	2018	10	16	-1.175	-2.3544	13	54	14
-2.97417	53.7856	2018	10	16	-1.702	-2.35238	13	54	18
-2.9747	53.7855	2018	10	16	-0.635	-2.3299	13	54	25
-2.97466	53.7862	2018	10	16	-1.468	-2.33126	13	54	29
-2.97445	53.7855	2018	10	16	-1.283	-2.33874	13	54	30
-2.97465	53.7858	2018	10	16	-1.143	-2.33641	13	54	41
-2.97382	53.7857	2018	10	16	-1.738	-2.3565	13	54	51
-2.97404	53.7861	2018	10	16	-1.551	-2.31518	13	54	55
-2.97455	53.7853	2018	10	16	-0.466	-2.33335	13	55	8
-2.97434	53.7856	2018	10	16	-1.446	-2.32948	13	55	12
-2.97413	53.7855	2018	10	16	-1.287	-2.37152	13	55	13
-2.97502	53.7857	2018	10	16	-1.114	-2.34203	13	55	20
-2.97458	53.7856	2018	10	16	-1.316	-2.32739	13	55	20
-2.97455	53.7855	2018	10	16	-1.168	-2.32882	13	55	31
-2.9745	53.786	2018	10	16	-1.402	-2.36498	13	55	37
-2.97493	53.7859	2018	10	16	-0.959	-2.33729	13	55	41
-2.97442	53.7854	2018	10	16	-0.676	-2.34235	13	55	43
-2.97441	53.7855	2018	10	16	-1.066	-2.33669	13	55	43
-2.97362	53.7858	2018	10	16	-1.617	-2.35265	13	55	47
-2.97429	53.7855	2018	10	16	-1.599	-2.3584	13	55	51
-2.97403	53.7858	2018	10	16	-1.431	-2.348	13	55	59
-2.974	53.7852	2018	10	16	-1.608	-2.37868	13	56	0
-2.9743	53.7856	2018	10	16	-1.119	-2.33759	13	56	1
-2.97476	53.7856	2018	10	16	-1.35	-2.34941	13	56	2
-2.974	53.7856	2018	10	16	-1.292	-2.33189	13	56	4
-2.97424	53.7856	2018	10	16	-1.374	-2.36629	13	56	8
-2.97409	53.787	2018	10	16	-1.616	-2.36098	13	56	11
-2.97393	53.7858	2018	10	16	-1.574	-2.36436	13	56	14
-2.97366	53.7854	2018	10	16	-1.454	-2.35466	13	56	18
-2.97454	53.7857	2018	10	16	-1.566	-2.35683	13	56	24
-2.97473	53.7857	2018	10	16	-1.107	-2.33302	13	56	25
-2.97422	53.7856	2018	10	16	-1.364	-2.31747	13	56	28
-2.97365	53.7852	2018	10	16	-1.674	-2.3376	13	56	35
-2.97438	53.7856	2018	10	16	-1.395	-2.3213	13	56	37
-2.97408	53.7859	2018	10	16	-1.419	-2.3777	13	56	40
-2.9747	53.7857	2018	10	16	-1.491	-2.34366	13	56	52
-2.97399	53.7861	2018	10	16	-1.719	-2.29722	13	56	57
-2.97417	53.7855	2018	10	16	-1.578	-2.32261	13	56	58
-2.97413	53.7855	2018	10	16	-1.687	-2.32495	13	57	1
-2.97367	53.7857	2018	10	16	-1.63	-2.35458	13	57	7
-2.97459	53.7856	2018	10	16	-1.16	-2.32434	13	57	14
-2.97454	53.7856	2018	10	16	-1.132	-2.3251	13	57	15
-2.9744	53.7859	2018	10	16	-1.614	-2.3653	13	57	21
-2.97432	53.7858	2018	10	16	-1.626	-2.35979	13	57	22
-2.97449	53.7856	2018	10	16	-1.397	-2.33027	13	57	23
-2.97476	53.7857	2018	10	16	-1.341	-2.32462	13	57	33
-2.97451	53.7856	2018	10	16	-1.054	-2.33109	13	57	36
-2.97456	53.7853	2018	10	16	-0.682	-2.32478	13	57	40
-2.97407	53.7855	2018	10	16	-1.077	-2.35385	13	57	47
-2.97406	53.7856	2018	10	16	-1.147	-2.33148	13	57	52
-2.97443	53.7856	2018	10	16	-1.32	-2.34306	13	58	2
-2.97432	53.7854	2018	10	16	-1.573	-2.35397	13	58	12
-2.97411	53.7861	2018	10	16	-1.534	-2.30651	13	58	13
-2.97463	53.7855	2018	10	16	-0.909	-2.33213	13	58	18
-2.97442	53.7854	2018	10	16	-0.748	-2.3463	13	58	19
-2.97402	53.7859	2018	10	16	-1.595	-2.34715	13	58	20
-2.97429	53.7857	2018	10	16	-1.443	-2.36495	13	58	21
-2.97491	53.7858	2018	10	16	-1.231	-2.33958	13	58	28
-2.97386	53.7858	2018	10	16	-1.332	-2.3733	13	58	34
-2.9743	53.7856	2018	10	16	-1.488	-2.36022	13	58	35
-2.97424	53.7856	2018	10	16	-1.537	-2.3438	13	58	35
-2.9747	53.7856	2018	10	16	-0.813	-2.33163	13	58	41
-2.97423	53.7854	2018	10	16	-0.969	-2.35262	13	58	46
-2.97431	53.7856	2018	10	16	-1.175	-2.34361	13	58	52
-2.97433	53.7859	2018	10	16	-1.077	-2.33272	13	59	11
-2.97449	53.7858	2018	10	16	-1.429	-2.34517	13	59	15
-2.97376	53.7857	2018	10	16	-1.28	-2.35303	13	59	18
-2.97471	53.7855	2018	10	16	-0.93	-2.3338	13	59	22
-2.97473	53.7853	2018	10	16	-0.455	-2.3373	13	59	23
-2.97414	53.7859	2018	10	16	-1.675	-2.34621	13	59	33
-2.97397	53.7857	2018	10	16	-1.051	-2.29496	13	59	34
-2.97456	53.7858	2018	10	16	-1.225	-2.31511	13	59	35
-2.9745	53.7856	2018	10	16	-1.27	-2.3336	13	59	47
-2.97465	53.7858	2018	10	16	-1.108	-2.33975	13	59	52
-2.97501	53.7859	2018	10	16	-1.424	-2.306	13	59	53
-2.97448	53.7855	2018	10	16	-1.168	-2.33516	13	59	55
-2.97439	53.7857	2018	10	16	-1.608	-2.34897	14	0	0
-2.97464	53.7854	2018	10	16	-0.626	-2.33952	14	0	9
-2.97472	53.7855	2018	10	16	-1.267	-2.34024	14	0	13
-2.9744	53.7857	2018	10	16	-1.422	-2.35934	14	0	15
-2.97411	53.7857	2018	10	16	-1.334	-2.32026	14	0	20
-2.97497	53.7858	2018	10	16	-0.956	-2.33402	14	0	25
-2.97535	53.7852	2018	10	16	-0.98	-2.28881	14	0	27
-2.97439	53.7859	2018	10	16	-1.716	-2.30285	14	0	28
-2.97443	53.7854	2018	10	16	-0.837	-2.31812	14	0	30
-2.97412	53.7855	2018	10	16	-1.048	-2.34599	14	0	31
-2.97432	53.7856	2018	10	16	-1.413	-2.36095	14	0	40
-2.97431	53.7856	2018	10	16	-1.336	-2.34049	14	0	42
-2.97428	53.7854	2018	10	16	-1.212	-2.33826	14	0	43
-2.97455	53.7857	2018	10	16	-1.492	-2.3541	14	0	53
-2.97485	53.7857	2018	10	16	-1.222	-2.34009	14	0	57
-2.97334	53.7858	2018	10	16	-1.493	-2.37449	14	1	0
-2.97429	53.7853	2018	10	16	-1.339	-2.34778	14	1	3
-2.97421	53.7857	2018	10	16	-1.547	-2.36828	14	1	4
-2.97436	53.7856	2018	10	16	-1.319	-2.34048	14	1	7
-2.9743	53.7865	2018	10	16	-1.722	-2.34881	14	1	7
-2.97428	53.7856	2018	10	16	-0.965	-2.34548	14	1	9
-2.97445	53.7857	2018	10	16	-1.474	-2.35969	14	1	13
-2.97458	53.7854	2018	10	16	-1.073	-2.32834	14	1	16
-2.97424	53.7856	2018	10	16	-1.332	-2.33231	14	1	17
-2.97397	53.7856	2018	10	16	-1.673	-2.35286	14	1	17
-2.97467	53.7855	2018	10	16	-0.929	-2.33551	14	1	24
-2.97474	53.7856	2018	10	16	-1.264	-2.33491	14	1	26
-2.97471	53.7857	2018	10	16	-1.55	-2.31771	14	1	29
-2.97297	53.7858	2018	10	16	-1.625	-2.35807	14	1	30
-2.97463	53.7856	2018	10	16	-1.493	-2.34826	14	1	31
-2.9742	53.7856	2018	10	16	-1.305	-2.33637	14	1	32
-2.97442	53.7855	2018	10	16	-1.051	-2.34764	14	1	36
-2.97373	53.7857	2018	10	16	-1.481	-2.36401	14	1	38
-2.97446	53.7862	2018	10	16	-1.631	-2.38905	14	1	40
-2.97393	53.7857	2018	10	16	-1.143	-2.34385	14	1	41
-2.97446	53.7855	2018	10	16	-1.096	-2.33129	14	1	51
-2.9742	53.7856	2018	10	16	-1.387	-2.34498	14	1	57
-2.97479	53.7858	2018	10	16	-1.158	-2.36576	14	2	0
-2.97421	53.7855	2018	10	16	-1.471	-2.36416	14	2	5
-2.97455	53.7856	2018	10	16	-0.963	-2.32699	14	2	6
-2.97445	53.7858	2018	10	16	-1.316	-2.31909	14	2	10
-2.97435	53.7858	2018	10	16	-1.517	-2.37893	14	2	16
-2.97414	53.7855	2018	10	16	-0.955	-2.34426	14	2	20
-2.97487	53.7854	2018	10	16	-1.053	-2.33369	14	2	21
-2.97478	53.7855	2018	10	16	-1.418	-2.33202	14	2	29
-2.9743	53.7855	2018	10	16	-1.4	-2.33779	14	2	30
-2.97451	53.7855	2018	10	16	-0.452	-2.34405	14	2	32
-2.97441	53.7854	2018	10	16	-1.111	-2.32384	14	2	33
-2.97428	53.7857	2018	10	16	-1.425	-2.30611	14	2	34
-2.97463	53.7855	2018	10	16	-1.304	-2.34883	14	2	36
-2.97418	53.7857	2018	10	16	-1.295	-2.34317	14	2	42
-2.97442	53.7856	2018	10	16	-1.055	-2.34341	14	2	46
-2.97472	53.7859	2018	10	16	-1.434	-2.32131	14	2	50
-2.9737	53.7859	2018	10	16	-1.529	-2.35198	14	2	56
-2.97496	53.7858	2018	10	16	-1.213	-2.33805	14	2	57
-2.97417	53.7853	2018	10	16	-1.565	-2.32851	14	2	58
-2.97504	53.7858	2018	10	16	-1.143	-2.34358	14	3	0
-2.97407	53.7855	2018	10	16	-1.31	-2.34699	14	3	2
-2.97462	53.7856	2018	10	16	-0.99	-2.32648	14	3	3
-2.97455	53.7855	2018	10	16	-1.069	-2.34155	14	3	5
-2.97485	53.7851	2018	10	16	-1.117	-2.29847	14	3	9
-2.97493	53.7855	2018	10	16	-0.792	-2.30302	14	3	12
-2.97426	53.7857	2018	10	16	-1.369	-2.30195	14	3	13
-2.97468	53.786	2018	10	16	-1.658	-2.38418	14	3	19
