t,Magnitude,Latitude,Longitude,Depth,dt
1102.25,4.72,29.277,102.278,-6000.0,2.869999999999891
1105.12,5.002,25.91,103.245,0.0,0.2700000000002092
1105.39,4.748,23.329,102.853,0.0,2.0599999999999454
1107.45,5.295,29.196,102.273,0.0,0.599999999999909
1108.05,4.993,23.355,102.862,-6000.0,0.44000000000005457
1108.49,4.72,29.277,102.278,-12000.0,0.41000000000008185
1108.9,4.72,29.196,102.273,-3000.0,0.7999999999999545
1109.7,4.749,25.86,103.268,0.0,0.8399999999999181
1110.54,4.744,26.873,102.863,0.0,5.430000000000064
1115.97,4.747,27.84,102.283,0.0,2.7899999999999636
1118.76,4.746,28.064,102.209,0.0,2.589999999999918
1121.35,4.746,27.048,102.744,0.0,1.4200000000000728
1122.77,5.274,29.25,102.276,0.0,2.4200000000000728
1125.19,4.99,29.169,102.272,0.0,0.8399999999999181
1126.03,5.159,25.91,103.245,0.0,1.3199999999999363
1127.35,5.011,28.09,102.204,0.0,0.16000000000008185
1127.51,5.003,23.355,102.862,0.0,1.6200000000001182
1129.13,4.746,23.406,102.881,0.0,0.16999999999984539
1129.3,4.753,29.115,102.268,0.0,0.8300000000001546
1130.13,4.715,23.329,102.853,-3000.0,1.1499999999998636
1131.28,6.029,29.25,102.276,0.0,0.9100000000000819
1132.19,5.593,27.864,102.271,0.0,0.07999999999992724
1132.27,4.746,29.142,102.27,0.0,5.279999999999973
1137.55,4.745,29.25,102.276,0.0,0.12000000000011823
1137.67,4.713,27.048,102.744,-3000.0,1.2100000000000364
1138.88,4.742,29.179,102.331,0.0,1.0599999999999454
1139.94,5.002,23.304,102.844,0.0,0.32999999999992724
1140.27,4.746,23.355,102.862,0.0,1.5799999999999272
1141.85,4.97,23.329,102.853,-6000.0,0.09000000000014552
1141.94,4.748,23.329,102.853,0.0,0.009999999999990905
1141.95,4.991,29.223,102.275,0.0,2.5499999999999545
1144.5,4.744,26.873,102.863,0.0,1.509999999999991
1146.01,4.721,29.169,102.272,-3000.0,0.5299999999999727
1146.54,4.742,25.91,103.245,0.0,0.2300000000000182
1146.77,4.749,27.071,102.728,0.0,0.5099999999999909
1147.28,4.72,29.169,102.272,-9000.0,0.650000000000091
1147.93,4.745,23.381,102.872,0.0,0.8599999999999
1148.79,4.704,29.25,102.276,-3000.0,0.40000000000009095
1149.19,4.75,25.885,103.256,0.0,0.8199999999999363
1150.01,5.504,23.304,102.844,0.0,3.7799999999999727
1153.79,4.704,29.142,102.27,-6000.0,0.7999999999999545
1154.59,5.008,28.064,102.209,0.0,0.8000000000001819
1155.39,4.746,27.048,102.744,0.0,0.4299999999998363
1155.82,4.743,23.304,102.844,0.0,0.6800000000000637
1156.5,4.983,23.355,102.862,0.0,2.1400000000001
1158.64,4.753,29.196,102.273,0.0,0.209999999999809
1158.85,5.15,27.84,102.283,0.0,0.8900000000001
1159.74,4.715,23.329,102.853,-3000.0,1.0599999999999454
1160.8,5.007,29.25,102.276,0.0,0.049999999999954525
1160.85,4.712,23.355,102.862,-6000.0,0.75
1161.6,4.748,23.278,102.834,0.0,1.740000000000009
1163.34,4.72,29.277,102.278,-12000.0,2.1100000000001273
1165.45,4.721,28.09,102.204,-3000.0,0.13999999999987267
1165.59,4.72,29.169,102.272,-12000.0,2.9500000000000455
1168.54,4.754,29.007,102.262,0.0,1.3700000000001182
1169.91,5.267,25.86,103.268,0.0,0.1799999999998363
1170.09,4.703,29.25,102.276,-9000.0,3.400000000000091
1173.49,4.72,29.196,102.273,-3000.0,0.18000000000006366
1173.67,4.713,23.355,102.862,-3000.0,1.4700000000000273
1175.14,4.705,28.064,102.209,-3000.0,1.3799999999998818
1176.52,4.753,29.196,102.273,0.0,0.32999999999992724
1176.85,4.746,28.064,102.209,0.0,0.08000000000015461
1176.93,5.601,23.304,102.844,-3000.0,1.240000000000009
1178.17,6.255,29.169,102.272,-3000.0,0.2300000000000182
1178.4,5.759,28.117,102.199,0.0,0.06999999999993634
1178.47,5.446,26.873,102.863,0.0,1.6199999999998909
1180.09,4.749,25.86,103.268,0.0,0.5700000000001637
1180.66,5.754,29.196,102.273,-3000.0,5.569999999999936
1186.23,5.519,27.84,102.283,0.0,4.779999999999973
1191.01,4.742,29.179,102.331,0.0,1.0499999999999545
1192.06,5.445,28.064,102.209,0.0,1.259999999999991
1193.32,4.704,29.25,102.276,-3000.0,0.7300000000000182
1194.05,5.168,27.071,102.728,0.0,1.4600000000000364
1195.51,4.703,29.25,102.276,-6000.0,0.42000000000007276
1195.93,4.713,23.355,102.862,-3000.0,0.7999999999999545
1196.73,4.746,28.064,102.209,0.0,1.990000000000009
1198.72,4.72,29.169,102.272,-9000.0,1.490000000000009
1200.21,4.701,23.304,102.844,-3000.0,0.7400000000000091
1200.95,5.159,25.885,103.256,0.0,4.9500000000000455
1205.9,4.716,25.86,103.268,-3000.0,4.7199999999998
1210.62,4.749,27.815,102.296,0.0,1.790000000000191
1212.41,5.0,26.873,102.863,0.0,2.1799999999998363
1214.59,5.159,25.91,103.245,0.0,2.1000000000001364
1216.69,4.749,29.203,102.317,0.0,5.1599999999998545
1221.85,4.742,29.179,102.331,0.0,0.2699999999999818
1222.12,4.746,23.637,102.966,0.0,0.75
1222.87,5.001,23.278,102.834,0.0,0.44000000000005457
1223.31,5.005,27.071,102.728,0.0,1.4700000000000273
1224.78,4.746,23.688,102.985,0.0,1.650000000000091
1226.43,5.185,29.007,102.262,0.0,0.22000000000002728
1226.65,4.72,29.169,102.272,-6000.0,0.6099999999999
1227.26,5.429,23.355,102.862,-3000.0,0.7699999999999818
1228.03,4.72,29.223,102.275,-9000.0,0.07999999999992724
1228.11,4.755,28.09,102.204,0.0,0.7000000000000455
1228.81,4.754,29.007,102.262,0.0,0.8600000000001273
1229.67,5.254,27.84,102.283,0.0,3.5499999999999545
1233.22,4.744,26.873,102.863,0.0,0.5799999999999272
1233.8,5.755,23.355,102.862,-3000.0,0.25
1234.05,4.988,28.064,102.209,0.0,0.7100000000000364
1234.76,5.368,25.86,103.268,-3000.0,0.7799999999999727
1235.54,4.746,23.868,103.051,0.0,1.6400000000001
1237.18,4.712,23.355,102.862,-6000.0,0.22000000000002728
1237.4,4.746,23.406,102.881,0.0,4.589999999999918
1241.99,4.704,29.25,102.276,-3000.0,0.44000000000005457
1242.43,4.743,23.304,102.844,0.0,0.6199999999998909
1243.05,4.97,23.329,102.853,-3000.0,2.769999999999982
1245.82,5.004,27.84,102.283,0.0,1.7000000000000455
1247.52,4.958,29.25,102.276,-6000.0,2.3299999999999272
1249.85,4.745,26.85,102.878,0.0,2.060000000000173
1251.91,5.001,29.203,102.317,0.0,0.3999999999998636
1252.31,4.745,23.381,102.872,0.0,0.18000000000006366
1252.49,4.721,28.09,102.204,-3000.0,0.07999999999992724
1252.57,4.748,23.509,102.919,0.0,1.6300000000001091
1254.2,5.901,29.115,102.268,0.0,2.769999999999982
1256.97,6.174,25.86,103.268,-3000.0,0.849999999999909
1257.82,5.719,28.872,102.252,0.0,0.10000000000013642
1257.92,4.744,26.873,102.863,0.0,0.1799999999998363
1258.1,4.746,23.919,103.07,0.0,0.060000000000172804
1258.16,6.129,29.196,102.273,0.0,1.5399999999999636
1259.7,5.757,23.637,102.966,0.0,0.21000000000003638
1259.91,5.177,28.09,102.204,0.0,1.6599999999998545
1261.57,4.746,23.406,102.881,0.0,0.9900000000000091
1262.56,4.746,23.688,102.985,0.0,0.9200000000000728
1263.48,5.005,27.048,102.744,0.0,0.8699999999998909
1264.35,5.721,23.329,102.853,0.0,1.1600000000000819
1265.51,5.437,28.037,102.214,0.0,0.37000000000011823
1265.88,4.976,29.223,102.275,-9000.0,5.789999999999964
1271.67,5.765,29.196,102.273,-3000.0,0.049999999999954525
1271.72,5.454,23.586,102.947,0.0,0.31999999999993634
1272.04,4.715,23.329,102.853,-3000.0,0.09000000000014552
1272.13,4.748,23.278,102.834,0.0,1.599999999999909
1273.73,4.746,23.868,103.051,0.0,2.5399999999999636
1276.27,5.183,27.864,102.271,0.0,1.5299999999999727
1277.8,4.712,23.355,102.862,-9000.0,0.9300000000000637
1278.73,4.745,26.85,102.878,0.0,0.08999999999991815
1278.82,4.75,27.864,102.271,0.0,3.7799999999999727
1282.6,4.744,26.873,102.863,0.0,0.6700000000000728
1283.27,5.002,27.791,102.309,0.0,0.12000000000011823
1283.39,4.713,27.048,102.744,-3000.0,0.959999999999809
1284.35,4.719,29.196,102.273,-9000.0,0.900000000000091
1285.25,5.338,23.329,102.853,0.0,0.5399999999999636
1285.79,4.717,27.864,102.271,-3000.0,0.2699999999999818
1286.06,4.747,27.094,102.712,0.0,1.009999999999991
1287.07,4.719,29.196,102.273,-15000.0,2.490000000000009
1289.56,4.745,23.381,102.872,0.0,0.20000000000004547
1289.76,5.001,23.509,102.919,0.0,0.19000000000005457
1289.95,4.746,27.048,102.744,0.0,0.34999999999990905
1290.3,4.748,23.278,102.834,0.0,0.39000000000010004
1290.69,4.748,23.329,102.853,0.0,2.0299999999999727
1292.72,4.703,23.381,102.872,-3000.0,0.4600000000000364
1293.18,5.007,28.037,102.214,0.0,0.5599999999999454
1293.74,5.01,29.088,102.267,0.0,0.11999999999989086
1293.86,4.746,23.817,103.032,0.0,0.36000000000012733
1294.22,4.748,23.74,103.004,0.0,2.0499999999999545
1296.27,4.746,23.637,102.966,0.0,0.4500000000000455
1296.72,4.705,27.84,102.283,-3000.0,0.17000000000007276
1296.89,4.746,23.919,103.07,0.0,0.5599999999999454
1297.45,4.748,23.457,102.9,0.0,0.849999999999909
1298.3,4.743,23.304,102.844,0.0,0.4600000000000364
1298.76,4.75,25.885,103.256,0.0,0.42000000000007276
1299.18,5.889,23.355,102.862,-6000.0,1.0599999999999454
1300.24,5.376,29.277,102.278,-3000.0,0.25
1300.49,4.749,27.071,102.728,0.0,1.599999999999909
1302.09,5.28,28.171,102.197,0.0,0.36000000000012733
1302.45,4.748,27.471,102.476,0.0,0.05999999999994543
1302.51,4.712,27.048,102.744,-6000.0,0.03999999999996362
1302.55,4.754,29.169,102.272,0.0,1.7000000000000455
